Year,"Food, Beverages and Tobacco Products","Textile, Wearing Apparel and
Leather Products",Wood and Wood Products,"Paper, Paper Products, Printing
and Publishing","Chemicals, Petroleum, Coal, Rubber
and Plastic Products",Non-Metallic Mineral Products,"Fabricated Metal, Machinery and Transport Equipment",Manufactured Products (Not Elsewhere Specified),Services and Infrastructure,Mean Currency rate,inflation,GDP_Growth,GDP-USD
1992,2480,63103,58,150,7291,6966,1498,16447,6227,43.73791666666667,11.4,4.6,521
1993,3094,127665,628,276,10349,7270,609,21182,8805,48.10348333333334,11.7,6.9,615
1994,2929,60820,158,616,7903,4502,354,7200,3553,49.170399999999994,8.4,5.6,686
1995,3963,73287,293,574,12217,6155,722,9151,7001,51.06226666666666,7.7,5.5,755
1996,4857,82050,342,857,15083,7068,1132,12822,9272,55.297925,15.9,3.8,796
1997,5653,98203,396,1144,17260,6496,1685,15143,8908,59.018466666666676,9.6,6.3,853
1998,9329,114794,380,1137,20270,5742,3425,16718,9963,64.991,9.4,4.7,879
1999,8256,127008,344,941,21956,7901,1832,18966,13020,70.84795,4.7,4.3,863
2000,12433,162701,411,1270,28838,8862,1961,24069,18772,76.98278333333333,6.2,6.0,899
2001,12907,174701,421,845,30299,9614,2402,20389,23924,89.617125,14.2,-1.5,841
2002,13609,192096,756,1266,28621,8997,9809,18983,24618,95.75568333333332,9.6,4.0,870
2003,15381,207051,1385,1822,33282,9126,17199,21766,29593,96.54179166666665,6.3,6.0,948
2004,18144,238304,2511,2548,42364,14125,22471,23128,26745,101.25455833333332,7.6,5.4,1062
2005,33879,239004,2677,1668,55850,15236,27726,23259,34345,100.38440833333334,11.0,6.2,1241
2006,35505,200522,2675,1943,64608,14761,24455,25581,17880,103.94203333333336,10.0,7.7,1421
2007,51464,230170,4092,4104,80647,15917,18094,43344,33608,110.58255000000001,15.8,6.8,1634
2008,38136,260179,3678,3875,80953,16195,18493,39625,36537,108.30844166666667,22.6,6.0,2014
2009,35277,278120,2268,3586,52383,9679,13385,35089,22085,114.89819999999999,3.5,3.5,2054
2010,30790,298207,4926,4160,74065,13123,17482,43132,30681,112.992475,6.2,8.0,2397
2011,34234,373463,6031,5805,110426,19379,17871,45386,40953,110.48191666666668,6.7,8.4,2836
2012,40442,393442,6979,6506,118088,22832,17548,48988,42008,127.44858333333333,7.6,9.1,2908
2013,43291,460123,7065,5165,124374,26897,17561,49071,40400,129.04801666666668,6.9,3.4,3609
2014,44871,542877,6904,7684,140818,30638,16692,56949,56205,130.54399999999998,3.3,5.0,3819
2015,41342,636497,6160,6968,124712,24277,14437,58179,71505,135.87640000000002,3.8,5.0,3842
2016,48005,691714,6230,6820,138036,22198,17286,62730,96768,145.728475,4.0,4.5,4149
2017,55631,781369,7648,9602,156673,20493,22518,76197,92847,152.41345833333332,7.7,3.6,4401
2018,66564,871292,7962,7140,178664,22430,33281,93183,105845,162.510525,2.1,3.3,4359
2019,71405,998411,7014,10404,197411,26831,33051,97932,123311,178.566025,3.5,2.3,4082
2020,65659,829996,5181,9909,185162,19595,28809,95451,109362,185.28009166666666,6.1,-3.6,3895
2021,87743,1050202,7352,9863,266401,31683,43062,132711,148043,197.80843333333334,7.0,3.6,4014
